ID;ZH001;ZH002;ZH003;ZH004;ZH005;ZH006;ZH007;ZH008
6;53142857;53142857;17142857;10285714286;10285714286;10285714286;10285714286;4971428571
7;1250000;1400000;1300000;1250000;800000;1300000;1200000;1000000
9;2000000;1500000;2000000;1300000;1000000;1500000;1200000;1000000
10;1401543;1401543;1401543;1121234;996653;1617408;1455667;1293926
11;1273098;1273098;1273098;1018479;905314;1469181;1322262;1175344
12;7000000;7000000;7000000;6000000;3500000;7000000;4500000;3500000
13;4000000;3500000;3500000;3600000;3000000;3500000;2800000;2800000
14;3000000;2800000;2500000;2000000;1500000;1300000;900000;700000
15;900000;1100000;800000;850000;700000;800000;750000;700000
16;1000000;1150000;800000;850000;700000;800000;800000;700000
17;1857140;2142800;2571400;2571400;1580000;3100000;3100000;1580000
18;282478;262426;256543;254965;252521;20804;254677;271597
19;8200000;4800000;5000000;4500000;2800000;3500000;3200000;2500000
20;246694;244407;238965;243355;177764;24576;153187;167629
21;8000000;10000000;7000000;5500000;4250000;7500000;4500000;4000000
22;1850000;2140000;2570000;2550000;1400000;3100000;2800000;1500000
23;10000000;9800000;9500000;9200000;8200000;9500000;8500000;8200000
24;80000;70000;60000;50000;30000;60000;40000;30000
25;7000000;7000000;7000000;6000000;3500000;7000000;4500000;3500000
26;2900000;2320000;1885000;1682000;1400000;2000000;1682000;1400000
