"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"López-Vizcaíno E.; Sanchez-Fernandez P.; Iglesias Patiño C.L.","López-Vizcaíno, Esther (55661477200); Sanchez-Fernandez, Patricio (36742548700); Iglesias Patiño, Carlos L. (6504098777)","55661477200; 36742548700; 6504098777","Monitoring of the regional economic situation through a synthetic indicator; [Monitorización de la coyuntura económica regional a través de un indicador sintético]","2020","Revista de Estudios Regionales","","119","","15","41","26","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150626220&partnerID=40&md5=a61fed0cb6b5c4e63e966c5d4d7e56ca","This paper builds a synthetic indicator that aims to provide a tool for monitoring the economic situation of a region. Thus, a synthetic indicator is constructed by applying to the economic data a dynamic factorial model that allows reducing the dimensionality of the initial data. To guarantee its technical solvency, the synthetic indicator developed considers the methodological developments pointed out by Stock & Watson (1991). In this way, we proceed by applying the dynamic factorial model to the economic series. This sort of indicators constructed using dynamic common factor models aims to represent a relatively large set of initial series by means of a smaller set that achieves a simpler and more compact interpretation. These indicators must fulfill the characteristics pointed out by Burns & Mitchell (1946), Artís et al. (1997) or Cuevas & Quilis (2010, 2015). Those are the following characteristics: i.- Length of the series; ii.- Economic significance; iii.- Statistical quality; iv.- Smooth profile; v.- Speed in the availability of information, and vi.- Monthly frequency. By doing this, a simpler and more compact interpretation is got through a reduced set of common factors. The variables finally included in the indicator are: 1.- Consumption of gasoline and diesel; 2.- Exports of goods deflated by the Export Unit Value Index; 3.- Imports of goods deflated by the Import Unit Value Index; 4.- Surface of the houses to create a new plant; 5.- Registration of tourism vehicles; 6.- Production of tourism vehicles; 7.- Air transport of passengers; 8.- Maritime transport of goods (loaded and unloaded); 9.- Housing visas; 10.- Index of turnover in the industry deflated by the Industrial Price Index (IPRI); 11.- People registered in the Social Security System; 12.- Industrial Production Index deflated by the IPRI (linked series); 13.- Retail trade sales index; 14.- Travelers entering the hotels; and 15.- Index of turnover in the services sector deflated by the services Consumer Price Index (CPI). The MARSS R package is used to estimate the indicator (Holmes et al., 2014). The functions of the package estimate the parameters of the model (Z and R) by maximum likelihood using the Expectation Maximization (EM) algorithm. The EM algorithm of Dempster et al. (1977) was used for this type of models by Shumway & Stoffer (1982) & Watson & Engle (1983). For the estimation of the factors, the Kalman filter is used once the model is represented in the state space. The results show the number of common factors that are needed to represent most of the variability of the original series. To do this, the eigenvalues of the sample autocovariance matrices are calculated. Likewise, with the objective of finding the co-integration range “s”, the Johansen test (1991) was carried out to the nine series in which there is information since 1995. This test concludes that, with a significance level of 5%, the co-integration range is 8 and, consequently, the series share a total of 1 trend in common. Then, the factorial loads are obtained in the series used, which are all positive and are used to calculate the common factor. The variable with the highest load is relative to the people registered in the Social Security System. Once the estimation of the synthetic indicator has been carried out, it is important to analyze the explanatory capacity of the indicator on quarterly GDP growth as a commonly accepted benchmark indicator. This analysis shows the existence of cyclical coherence and stability in the relationship that will allow accepting the common factor as a valid synthetic indicator. Finally, once the indicator has good properties to be a good predictor of GDP, a model is established that relating these two indicators and allows GDP to be predicted from the synthetic indicator. The results obtained allow us to monitor the monthly evolution of a regional economy in a way consistent with the quarterly evolution of GDP. In addition, the estimated synthetic estimator can be used to predict GDP through a generalized additive model (GAM) in which the correlation structure of the data is taken into account. This work has several advantages when comparing to similar proposals in previous literature. We can summarize this advantages in the following four. Firstly, it is necessary to point out the good performance of the indicator when compared with the evolution of GDP. The high degree of coupling between the evolution of both magnitudes (synthetic indicator and GDP), determined by the correlation coefficient, shows their cyclical coherence and stability. The second advantage lies in the simplicity of the procedure used. It is a simpler procedure with fewer hypothesis assumptions than in most papers with similar characteristics and, on the other hand, the empirical results are very similar. A third advantage of the calculated synthetic indicator is that it serves as an indicator of the evolution of the economy, nowadays the periodicity of GDP is quarterly, so in any quarter, two months in advance and by calculating the synthetic indicator and establishing the function of relationship between the two indicators by the proposed GAM model, it will be possible to anticipate the evolution of GDP in that quarter. Finally, the fitting of the polynomial of degree three, that is slightly worse than that made by “splines”, has the advantage that allows to give an approximation of the inflection point, in this case when IS = 1,77, which can be used as a control value in the monitoring of the conjuncture. Therefore, an easily replicable methodology is presented, both with the data available in another region or with the data available at national level. © 2020 Asociacion Universidades Publicas de Andalucia. All rights reserved.","Business cycle; Dynamic factor analysis; Generalized additive models; Regional economy; Synthetic indicators","","Article","Final","","Scopus","2-s2.0-85150626220"
"Gutiérrez Mejía D.P.; Nauzán Ceballos V.H.; Bonilla Bonilla Y.M.","Gutiérrez Mejía, Diana Patricia (57898015800); Nauzán Ceballos, Víctor Hugo (58653466700); Bonilla Bonilla, Yudy Marlen (58653819100)","57898015800; 58653466700; 58653819100","Efficiency wages, productivity, competitiveness and opportunities of the Trade Agreement with the European Union in the Agricultural sector of Cundinamarca – Colombia; [Salarios de eficiencia, productividad, competitividad y oportunidades del Acuerdo Comercial con la Unión Europea en el sector agrícola de Cundinamarca - Colombia]","2021","Revista de Estudios Regionales","122","","","147","172","25","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148006027&partnerID=40&md5=b7ad168814333631480b63a15df17f71","Colombia is one of the countries with more opportunities to grow and contribute to economic development from the agricultural sector given its comparative advantages in terms of land extension and privilege in areas of productive vocation; To this is added the projections of FAO, that by the year 2050, the world population will grow around 9.1 million so that the country can contribute to world food security. Cundinamarca is one of the thirteen departments that make up the Andina Region in Colombia, the position of the region, consolidates it into a strategic node through which products are mobilized that in economic terms represent about 30% of GDP national, situation that represents great possibilities to consolidate the leadership, of the region and the country in the global scene. On the other hand, agricultural products represented 12.6% of GDP in 2016 according to the DANE. According to figures from the secretary of agriculture, the department uses only 29.01% of its hectares to farm activity, with a total of 252,907 hectares. When determining the main variables that affect the productivity and competitiveness of the department, it will be possible to establish and implement tools that promote economic and social development, given the importance of the rural sector and agriculture are a priority in the region and in the country. Therefore, solutions such as better wages, internationalization processes that lead to the reduction of unemployment, increase of profits for employers and economic growth must be adopted. For this study, the SE theory of Shapiro and Stiglitz (1984) is used as a tool to determine if SEs affect the productivity of the sector. Without leaving aside the proposal by Romer (2006), who ensures that high wages are efficient as they increase the benefits received by firms, in proportion to production costs. This is an initial study (piloting) divided into six parts: first a documentary review is presented about the current situation of the competitive factors of the region and different theoretical aspects about the efficiency wages (SE), besides the importance of the exports as a growth factor under the Thirlwall model (2011), which has been applied to Colombia, along with a brief presentation of the FTA with the EU focused on the agricultural sector. Then, we present the methodology used, which is of a mixed type (qualitative - quantitative) supported by the model of Sahpiro and Stiglitz (1984): w = rV_u + (r + b + q) e / q Where; rVu: represents the unemployment rate A: Represents the proportion of active income per employee b: Represents the abandonment rate, q: It is the probability of finding a worker outside the workplace. e: It is the effort measured in terms of productivity. We seek to know if there are SE and how the effort measured in terms of productivity per worker affects the range of wage income received, the role in productivity and competitiveness, specifically in agricultural products. The results determine that the probability of finding SE in the sector is 28.03%, which reflects a low productivity, affecting the competitive at the regional level, according to several theorists on the subject such as Porter (1994). The variable (q), the rate of work avoidance, reduces up to 1852% the probability of finding SE as compensation for the products sown and / or harvested. Given its inverse relationship and which is applicable to reality, since once they “catch” more easily workers by avoiding their work, they will be dismissed and will hinder the productive process. For the case of the active rate of profit (r), once a percentage point decreases, the probability of finding SE decreases by 0.01395%. The effort of the worker (e) on his part helps to increase the probability of giving SE in each harvest by 0.01745%. The abandonment rate (b) generates a high probability, 19192%, that this type of salary is given, since the farmer will want to pay more or a better salary in order to encourage the worker to stay for the harvest, and This is not lost. This high rate may reflect the low level of productivity and salary level received. On the other hand, the Wald (W) test determined that the model is well adjusted, since the value of the statistic yielded by the program was greater than 5%, it was 19.16%. Consequently, the model that determines the SE in the sector under study: -18.52q-0.00013r + 0.00017 q + 191.92 b = ŵ From the above it is concluded that the Cundinamarca region has great potential in terms of agricultural products, but it is considered that the productivity of the sector is low. One reason is the low income of people who work and depend on agricultural activities, which affects their quality of life because they can’t access good nutrition, quality education, among others, decreasing their productive capacity. This is consistent with sociological SE models such as that proposed by Akerlof (1982). In addition, there is a need to close the gaps between living and wage conditions between the rural and urban sectors in order to retain rural skilled labor, which leads to achieving a competitive and sustainable sector that has the capacity to face the challenges that come with the internationalization processes and thus take advantage of the opportunities offered by FTA such as the one in force with the EU. It is recommended to work directly with the actors linked to the sector, which will allow knowing their perception about the level of wages received, compared to the level of welfare, in order to suggest strategies aimed at formulating public policies that contribute to improving the productive level, competitiveness, exports and social welfare in Cundinamarca. It will be possible to reduce the abandonment rate, improve and encourage technological and social innovation and generate research, which will be reflected in regional sustainability. The proposed model determines that there are no efficiency wages for the agricultural sector in Cundinamarca, which affects the levels of productivity and therefore competitiveness and does not allow to take advantage of the existing trade agreement with the EU, which offers opportunities as developed in this research, and despite the great potential of the region. Therefore, it is recommended to carry out this study for each type of crop, with the purpose of establishing in a specific way wages should be rethought and their impact on productivity and competitiveness, all accompanied by policies to mitigate unemployment generated through the strengthening of other sectors such as tourism. From this study, it could be concluded that it is necessary to establish a minimum wage for the rural sector of Cundinamarca, since this generates a certain degree of job security. The sociological model proposed by Akerlof (1982) should also be considered, in order to create a sense of belonging and other attitudes that motivate workers to increase their effort as gratitude towards the farmer, increasing their productivity and lowering supervision costs. Consistent with the need to level the rural wage, which according to official reports represents a proportion close to 70% of the minimum urban wage, should be articulated with the policies proposed by the Secretary of Competitiveness and Development of Cundinamarca, because it would not be logical to increase wages, if you do not have the conditions to reach markets like the EU, to obtain the necessary income to be able to pay them. In summary, given the results of the model, the ideal would be to increase wages to the point where the probability of SE occurring is high, helping to improve competitiveness levels, without generating high unemployment and allowing internationalization processes to be tackled., which at the same time can become the main tool to combat the negative effect of this type of wages. This will have positive consequences both for the local society and for the national and international ones from the alimentary point of view, since the problematic around the scarcity of food and level of poverty can’t be left aside, advancing in the fulfillment of the objectives of sustainable development. © 2021 Asociacion Universidades Publicas de Andalucia. All rights reserved.","Efficiency, European Union; Free trade Agreement; Wages Productivity","","Article","Final","","Scopus","2-s2.0-85148006027"
"Álvarez Tapia M.E.; Santander Moreno J.J.; Rosero Moran C.M.","Álvarez Tapia, Milena Elizabeth (57211493233); Santander Moreno, Jessica Johanna (57895947100); Rosero Moran, Cristina Mercedes (57991246900)","57211493233; 57895947100; 57991246900","NEED FOR AN ORDINANCE FOR THE REDUCTION OF URBAN PROPERTY TAX IN TULCÁN-ECUADOR; [NECESIDAD DE UNA ORDENANZA PARA LA REDUCCIÓN DEL IMPUESTO PREDIAL URBANO EN TULCÁN-ECUADOR]","2022","Universidad y Sociedad","14","6","","414","420","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143210371&partnerID=40&md5=0f8065bbcd955661bf41dd31913df0eb","The payment of the urban property tax is an obligation with which all citizens who own real estate must comply. The objective of this research is to demonstrate the help that the decrease in the payment of the tax would give to the citizens, due to the fact that the economy of the citizens has been affected by the pandemic, since the city of Tulcan is a border city, its main economic activity is commerce, which due to the pandemic decreased significantly, leaving economic losses. The objective is to demonstrate that such increase is currently unnecessary, since everyone has been economically affected by Covid 19, for this we have used a field and investigative methodology. As a result, we should obtain the solution to this problem, giving a favourable end for the citizens as well as for the personnel of the municipality. © 2022, University of Cienfuegos, Carlos Rafael Rodriguez. All rights reserved.","Citizens; Decrease; Economic Activity; Ordinance; Urban Property Tax","","Article","Final","","Scopus","2-s2.0-85143210371"
"Camacho-Ballesteros A.; Ortega-Escobar H.M.; Sánchez-Bernal E.I.; Flores-Magdaleno H.; Gardezi A.K.; Mendoza-Saldivar I.; Mercado-Fernández T.; Avelar-Roblero J.U.","Camacho-Ballesteros, Adriana (57218268041); Ortega-Escobar, Héctor Manuel (55027360900); Sánchez-Bernal, Edgar Iván (25634925600); Flores-Magdaleno, Héctor (54383124300); Gardezi, Abdul Khalil (58497898000); Mendoza-Saldivar, Isabel (57222341305); Mercado-Fernández, Teobaldis (57215609264); Avelar-Roblero, Juan Uriel (58497523900)","57218268041; 55027360900; 25634925600; 54383124300; 58497898000; 57222341305; 57215609264; 58497523900","Hydrochemistry and water quality for irrigation of RH 21 and 23costa de Oaxaca and costa de Chiapas, México; [Hidroquímica y calidad del agua para riego de las RH 21 y 23costa de Oaxaca y costa de Chiapas, México]","2023","Terra Latinoamericana","41","","e1600","","","","0","10.28940/terra.v41i0.1600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165421452&doi=10.28940%2fterra.v41i0.1600&partnerID=40&md5=1498377d76b06ffb49d91a3ba46d7055","The hydrological region 21 coast of Oaxaca has an active tourist dynamic, it generates significant economic income, and it is considered the fourth most important socioeconomic region in the state of Oaxaca. Similarly, hydrological region 23 coast of Chiapas, has an economy governed by tertiary sector activities and is comprised of the Istmo-Costa and Soconusco socioeconomic regions, the latter is the main region that contributes to the gross domestic product of the state of Chiapas. It should be noted that this socioeconomic growth has required a greater demand for water resources, which has led to water pollution. The deterioration of the area's water resources is caused by the discharge of wastewater, solid waste and agrochemicals into natural waterways. In order to assess the state of the water resources of hydrological regions 21 and 23, 31 sampling sites were established in the spring of 2021 distributed in the main streams. Each sample was analyzed for chemical properties: pH, electrical conductivity (EC), major anions and cations (CO32-, HCO3-, Cl-, SO42-, Ca2+, Mg2+, Na+ and K+), total dissolved solids (TDS), percentage of sodium (%Na), adsorption ratio of sodium (RAS), residual sodium carbonate (RSC), permeability index (PI), as well as a hydrochemical evaluation. The waters of the hydrological regions 21 and 23 present as dominant facies the calcium-magnesium bicarbonate, whose possible origin is a consequence of the dilution process of the geological material (water-rock interaction) with low and medium concentrations. With respect to salinity, 45.16% are low salinity waters and 93.55% of the sites have low sodium, therefore, they are considered recommended for irrigation with moderate restrictions. © 2023 Authors. All rights reserved.","facie; permeability index; salinity; saturation index; sodicity","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165421452"
"Ontivero R.E.; Allione L.R.; Castellarini F.; Lugo M.A.","Ontivero, Roberto E. (56652238400); Allione, Lucía Risio (57204091640); Castellarini, Fabiana (6506361433); Lugo, Mónica A. (7003805668)","56652238400; 57204091640; 6506361433; 7003805668","Composition of arbuscular mycorrhizal fungi communities under different land uses in caldenal soils.; [Composición de las comunidades de hongos micorrícicos arbusculares en diferentes usos de suelo en el Caldenal, Argentina]","2023","Ecologia Austral","33","1","","95","107","12","0","10.25260/EA.23.33.1.0.1955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180225077&doi=10.25260%2fEA.23.33.1.0.1955&partnerID=40&md5=fb310a1495432fa802020412cfcaed77","Arbuscular mycorrhizal fungi (AMF) are mutualistic symbionts associated with most terrestrial plants. HMA communities vary in composition and life histories and are affected by land use and management. The caldén forests (Prosopis caldenia Burkart) in the province of San Luis have suffered a considerable reduction in their area. Currently, its relics are part of a landscape made up of forests and lands cultivated with Medicago sativa L. (alfalfa) and Eragrostis curvula (Schrad.) Nees (weeping lovegrass), key forage species for livestock production in the region. Considering the ecological and economic importance that these land uses have for the region, the objective of this work was to analyze whether the diversity of AMF is affected by the change in land use from caldén forest to alfalfa or weeping lovegrass plots and whether there are indicator species for each use. Four plots of permanent forest were established, 4 of alfalfa and 4 of weeping lovegrass. Soil samples were taken from each plot, the physicochemical characteristics were determined and the AMF spores were extracted. The composition of the spore communities was different in each land use. The AMF morphospecies richness did not showed differences between forest and alfalfa but show differences with weeping lovegrass. Total abundance, spore abundance of ruderal and stress-tolerant species were significantly higher in alfalfa. In addition, 2 indicator species were identified in alfalfa, 1 in forests, and 2 in weeping love grass. This study provides evidence suggesting that land-use change in Caldenal significantly alters the composition of AMF spore communities and may have a negative effect on this endemic forest. © 2023, Asociacion Argentina de Ecologia. All rights reserved.","Espinal; Fungal functional diversity; Indicator species; Mycorrhiza","Argentina; Caldenal; San Luis Basin [Argentina]; abundance; alfalfa; forest ecosystem; fungus; land use change; livestock farming; mycorrhiza; ruderal; species diversity; spore","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180225077"
"Navarro-De-la-Fuente L.; Trigos Á.; Salinas-Castro A.","Navarro-De-la-Fuente, Laura (36918901100); Trigos, Ángel (56013753200); Salinas-Castro, Alejandro (56398531700)","36918901100; 56013753200; 56398531700","[PRESENCE OF Chaetocapnodium zapotae IN CHICOZAPOTE (Manilkara zapota) FRUITS IN VERACRUZ, MEXICO]; [PRESENCIA DE Chaetocapnodium zapotae EN FRUTOS DE CHICOZAPOTE (Manilkara zapota) EN VERACRUZ, MÉXICO †]","2024","Tropical and Subtropical Agroecosystems","27","1","5089","","","","0","10.56369/tsaes.5089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182349193&doi=10.56369%2ftsaes.5089&partnerID=40&md5=3cac2545273386da13188c060c2f7e83","Background. The chicozapote, is native to Central America, has economic potential, due to the properties of its fruits, wood, and the production of latex. Objective. To evaluate the incidence and severity of Chaetocapnodium zapotae in Manilkara zapota fruits. Methodology. In the month of April 2022, the incidence and severity of Chaetocapnodium zapotae were evaluated in an orchard in the Apazapan, Veracruz, Mexico area. Trees were randomly selected (25% of the total number of trees in the orchard). 20 fruits per tree were collected. The percentage of incidence was calculated with the formula: I (%)=number of fruits with signs of disease / total number of fruits evaluated *100: Severity was evaluated with a visual scale. Results. The percentage of fruits with the presence of C. zapotae was not significantly different between the two strata of the tree crowns (t=0.519, gl=22, p=0.609). Also, no differences were observed in the orientation of the fruits within the crown. (t=1.59, gl=22; p= 0.126). All the trees evaluated presented at least one affected fruit, with an average percentage of incidence of 39.6 ± 4.5% (mean ± standard error). Implications. With this study, the need to look for new alternatives for the commercialization of its fruits is evidenced, such as the sale of processed pulp and thus avoiding its depreciation due to the external appearance. Conclusions. This research establishes the basis for future studies that should focus on the development of strategies that minimize the negative effects of C. zapotae, a new species, on M. zapota fruits in the state of Veracruz. © 2024 Universidad Autonoma de Yucatan. All rights reserved.","incidence; new species of fungus; severity; sooty mould","","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182349193"
"Torrent J.C.R.; Roman J.V.; Barbieri N.G.","Torrent, Juan Carlos Rodríguez (55221300900); Roman, Janett Vallejo (57298480100); Barbieri, Nicolas Gissi (56895871700)","55221300900; 57298480100; 56895871700","The Chilean Patagonia: Territorial conflicts and environmental conservation in the 21st century; [A Patagonia Chilena: Conflitos territoriais e os processos de conservação ambiental no século XXI]; [Patagonia Chilena: Conflictos territoriales y procesos de conservación ambiental en el siglo XXI]","2021","Desenvolvimento e Meio Ambiente","58","","","233","254","21","0","10.5380/DMA.V58I0.71047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117241513&doi=10.5380%2fDMA.V58I0.71047&partnerID=40&md5=9161ccd9d1a51d6e7a81081f52f273eb","An anthropological analysis of territorial rewriting processes in Chilean Patagonia, specifically in the Aysén region, is presented. The central thesis maintains that the presence of new non-state actors, with ownership of the land and ecosystems, and with philosophical orientations of deep ecology, generates new conditions for environmental conservation and redefines the position of traditional inhabitants, producers linked to family farming. It is critically posited that the new valuation languages operate as a political expression of power and authority, which severely impacts the possibility of reproduction of domestic units, which need ample feeding spaces for their livestock and the native forest for protection. In this way, the traditional space of daily life loses regularity due to the creation of private parks, since they have non-productive purposes and incorporate post-humanist values. Likewise, through ethnographic records, a gradual process of territorial denationalization, absence of local sovereignty and difficulties for the reproduction of the rural culture of Patagonia is verified, which make it difficult to imagine the future by the productive units. © 2021 Universidade Federal do Parana. All rights reserved.","Deep ecology; Environmental conservation; Nature; Patagonia; Rurality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85117241513"
"Vershinina I.M.","Vershinina, Irina M. (57208620164)","57208620164","HONDURAS: CHANGING THE ECONOMIC COURSE; [HONDURAS: СAMBIO DE RUMBO ECONÓMICO]","2023","Iberoamerica (Russian Federation)","","3","","69","94","25","0","10.37656/S20768400-2023-3-04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178092063&doi=10.37656%2fS20768400-2023-3-04&partnerID=40&md5=eeda17cd940fe1d7d7a20d2e3d63809e","In 2021, elections were held in Honduras; as a result, Xiomara Castro was elected as president. Her government faced a number of difficulties in the economy, most of them left from the previous authorities. Despite the ambitious projects of former president Juan Orlando Hernández, the economic situation practically was not changed for the better. Moreover, some projects, most notably the creation of Zones of Employment and Economic Development (ZEDE), caused divisions in the society. The author analyzes the economic strategy of the previous government, answering the question: why did it not lead to an improvement in the economic situation in the country and what challenges did the new government face. The article examines the program of the X. Castro government and analyzes the measures taken by new authorities in the economic sphere. The author assesses the results of new government during the year and a half and tries to determine her actions in the next future. © (2023) All Rights Reserved.","Economic Development (ZEDE); economic program; external debt; Honduras; land canal; migration; National Energy Company; X. Castro; Zones of Employment","","Article","Final","","Scopus","2-s2.0-85178092063"
"Pinzón-Ayala D.","Pinzón-Ayala, Daniel (57198797611)","57198797611","The barracks of the Civil Guard during Franco’s dictatorship: limitations and potential of a marginal heritage; [Las casas cuartel de la Guardia Civil del franquismo: limitaciones y potencialidades de un patrimonio marginal]","2023","Informes de la Construccion","75","569","e489","","","","0","10.3989/ic.92810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153400181&doi=10.3989%2fic.92810&partnerID=40&md5=9d9f1d6a1cbbf1189c3e05cb3be3fa78","The promotion of barracks carried out by the Franco regime between 1940 and 1975 allowed the consolidation of the state-owned Guardia Civil barracks, which until then had depended on rented properties. Although this meant a qualitative leap for the working and residential spaces of these military complexes, economic, technical, material, and human limitations conditioned their quality. The analysis of 298 barracks reveals that their typology evolved, in three different periods, due to advances in construction solutions, regulations and the changing idea of the barracks, but with a constant precariousness. This reality, together with the lack of knowledge and associated prejudices, is currently causing many barracks to be demolished, with a significant loss of heritage. The aim of this article is to highlight the value of these architectures by demonstrating with examples that they can be useful for new uses, especially in rural areas, despite their constructive limitations © 2023 CSIC. Este es un artículo de acceso abierto distribuido bajo los términos de la licencia de uso y distribución Creative Commons Reconocimiento 4.0 Internacional (CC BY 4.0)","barracks; collective housing; construction; francoism; materials; military architecture","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85153400181"
"Quiroz-Mojica L.J.; Daza-Mendoza M.M.; Díaz-Muegue L.C.; Melo-Rios A.E.; Peñuela-Mesa G.A.","Quiroz-Mojica, Laura Janeth (57223224836); Daza-Mendoza, María Margarita (57223223261); Díaz-Muegue, Luis Carlos (57223218685); Melo-Rios, Aslenis Emidia (57194011970); Peñuela-Mesa, Gustavo Antonio (9637373200)","57223224836; 57223223261; 57223218685; 57194011970; 9637373200","Biochar effect, mycorrhizae and Guazuma ulmifolia, in early mining soil rehabilitation stages; [Efecto de biochar, micorrizas arbusculares y Guazuma ulmifolia, en la rehabilitación de suelos mineros]","2021","Terra Latinoamericana","39","","","1","16","15","2","10.28940/TERRA.V39I0.709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105305094&doi=10.28940%2fTERRA.V39I0.709&partnerID=40&md5=4172d1ac910dba6476e753ad04c2e227","Coal mining is one of the predominant activities in the department of Cesar, Colombia, and drives the country's economic growth. After the mineral extraction process, layers of collected soils and sterile material are usually used to form artificial soils, also called mining soils; these, due to their edaphic conditions, possess a certain toxicity and infertility degree, which restricts the growth and survival of organismsintheenvironment,leadingtotheformation of desert areas. Mining soil rehabilitation encourages the restoration of adequate conditions, allowing it to once more, offer some environmental goods and services. In this study, the objective was to evaluate the biochar, arbuscular mycorrhizal fungi (AMF) and NPK effect on the rehabilitation of mining soils, and on Guazuma ulmifolia seedling growth which were evaluated from three trials: initially a germination trial was carried out, using Guazuma ulmifolia seeds, mining soils and biochar in concentrations of 0, 1, 5 and 10%; Then, a nursery scale trial was established where four treatments containing the seedling, biochar, AMF and NPK were applied. Later, a field scale trial was carried out using four treatments with the seedling, biochar and AMF. Results show that biochar in concentrations of 1 and 5% significantly increased the germination percentage, leaf length and plant biomass; in addition, a 60% infection rate was found in plant roots by AMF; likewise, there was a significant increase in pH, phosphorus, organic carbon, glomalin and enzymatic activity in soils, also as well as a significant reduction in electrical conductivity. The use of biochar and mycorrhizae improved the properties of the soils and stimulated growth in the seedling, thus promoting the rehabilitation process. © 2021 Mexican Society of Soil Science. All right reserved.","Biocarbon; Mining soils; Mycorrhizal fungi; Native plants; Technosol","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105305094"
